"route_id","agency_id","route_short_name","route_long_name","route_desc","route_type","route_url","route_color","route_text_color","jp_parent_route_id"
"82000_3570_1","6260001001189","","替道（津高）",,"3",,,,"替道（津高）"
"330000_3092_1","6260001001189","","半田山津高台線(臨時運行)",,"3",,,,"半田山津高台線(臨時運行)"
"10001_1008_1","6260001001189","","大学病院線",,"3",,,,"大学病院線"
"81000_1561_1","6260001001189","","替道（岡南）",,"3",,,,"替道（岡南）"
"82000_3543_1","6260001001189","","替道（津高）",,"3",,,,"替道（津高）"
"82000_3559_1","6260001001189","","替道（津高）",,"3",,,,"替道（津高）"
"10700_1073_1","6260001001189","","新保・万倍線",,"3",,,,"新保・万倍線"
"43900_4392_1","6260001001189","","三蟠南線",,"3",,,,"三蟠南線"
"10006_2008_1","6260001001189","","岡電高屋線",,"3",,,,"岡電高屋線"
"30300_3038_1","6260001001189","","妙善寺線",,"3",,,,"妙善寺線"
"10200_1027_1","6260001001189","","岡山ろうさい病院・松浜町線",,"3",,,,"岡山ろうさい病院・松浜町線"
"110006_2052_1","6260001001189","","岡電高屋線(臨時運行)",,"3",,,,"岡電高屋線(臨時運行)"
"30200_3023_1","6260001001189","","三野線",,"3",,,,"三野線"
"30300_3032_1","6260001001189","","妙善寺線",,"3",,,,"妙善寺線"
"41200_4202_1","6260001001189","","火の見線",,"3",,,,"火の見線"
"220100_2015_1","6260001001189","","藤原団地・京山線(臨時運行)",,"3",,,,"藤原団地・京山線(臨時運行)"
"21100_2113_1","6260001001189","","後楽園線",,"3",,,,"後楽園線"
"30300_3033_1","6260001001189","","妙善寺線",,"3",,,,"妙善寺線"
"10200_1021_1","6260001001189","","岡山ろうさい病院・松浜町線",,"3",,,,"岡山ろうさい病院・松浜町線"
"10001_1007_1","6260001001189","","大学病院線",,"3",,,,"大学病院線"
"30100_3011_1","6260001001189","","中央病院線",,"3",,,,"中央病院線"
"81000_1541_1","6260001001189","","替道（岡南）",,"3",,,,"替道（岡南）"
"330200_3222_1","6260001001189","","三野線(臨時運行)",,"3",,,,"三野線(臨時運行)"
"110006_2003_1","6260001001189","","岡電高屋線(臨時運行)",,"3",,,,"岡電高屋線(臨時運行)"
"10001_2028_1","6260001001189","","大学病院線",,"3",,,,"大学病院線"
"30400_3043_1","6260001001189","","理大東門線",,"3",,,,"理大東門線"
"83000_4552_1","6260001001189","","替道（桑野）",,"3",,,,"替道（桑野）"
"110001_2006_1","6260001001189","","大学病院線(臨時運行)",,"3",,,,"大学病院線(臨時運行)"
"30000_3052_1","6260001001189","","半田山津高台線",,"3",,,,"半田山津高台線"
"82000_3193_1","6260001001189","","替道（津高）",,"3",,,,"替道（津高）"
"10100_1011_1","6260001001189","","築港元町線",,"3",,,,"築港元町線"
"10800_4042_1","6260001001189","","旧2号線",,"3",,,,"旧2号線"
"30600_3063_1","6260001001189","","免許センター線",,"3",,,,"免許センター線"
"10800_4044_1","6260001001189","","旧2号線",,"3",,,,"旧2号線"
"39000_3122_1","6260001001189","","津高臨時線",,"3",,,,"津高臨時線"
"43800_4381_1","6260001001189","","新岡山港線",,"3",,,,"新岡山港線"
"330000_3004_1","6260001001189","","半田山津高台線(臨時運行)",,"3",,,,"半田山津高台線(臨時運行)"
"20300_2137_1","6260001001189","","健康づくり財団線",,"3",,,,"健康づくり財団線"
"10001_1005_1","6260001001189","","大学病院線",,"3",,,,"大学病院線"
"30300_3030_1","6260001001189","","妙善寺線",,"3",,,,"妙善寺線"
"30200_3022_1","6260001001189","","三野線",,"3",,,,"三野線"
"30200_3021_1","6260001001189","","三野線",,"3",,,,"三野線"
"20300_2036_1","6260001001189","","健康づくり財団線",,"3",,,,"健康づくり財団線"
"330000_3003_1","6260001001189","","半田山津高台線(臨時運行)",,"3",,,,"半田山津高台線(臨時運行)"
"441200_4122_1","6260001001189","","火の見線(臨時運行)",,"3",,,,"火の見線(臨時運行)"
"10100_1014_1","6260001001189","","築港元町線",,"3",,,,"築港元町線"
"43700_4388_1","6260001001189","","岡山ふれあいセンター線",,"3",,,,"岡山ふれあいセンター線"
"10010_2023_1","6260001001189","","岡電高屋線［附属校］",,"3",,,,"岡電高屋線［附属校］"
"20400_2141_1","6260001001189","","平田・北長瀬線",,"3",,,,"平田・北長瀬線"
